Actor,Modality,Vocal_channel,Emotion,Emotional_intensity,Statement,Repetion,Gender,Audio_file
Actor_01,3,1,1,1,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-01-01-01-01-01.wav
Actor_01,3,1,1,1,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-01-01-01-02-01.wav
Actor_01,3,1,1,1,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-01-01-02-01-01.wav
Actor_01,3,1,1,1,2,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-01-01-02-02-01.wav
Actor_01,3,1,2,1,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-01-01-01-01.wav
Actor_01,3,1,2,1,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-01-01-02-01.wav
Actor_01,3,1,2,1,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-01-02-01-01.wav
Actor_01,3,1,2,1,2,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-01-02-02-01.wav
Actor_01,3,1,2,2,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-02-01-01-01.wav
Actor_01,3,1,2,2,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-02-01-02-01.wav
Actor_01,3,1,2,2,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-02-02-01-01.wav
Actor_01,3,1,2,2,2,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-02-02-02-02-01.wav
Actor_01,3,1,3,1,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-01-01-01-01.wav
Actor_01,3,1,3,1,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-01-01-02-01.wav
Actor_01,3,1,3,1,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-01-02-01-01.wav
Actor_01,3,1,3,1,2,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-01-02-02-01.wav
Actor_01,3,1,3,2,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-02-01-01-01.wav
Actor_01,3,1,3,2,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-02-01-02-01.wav
Actor_01,3,1,3,2,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-02-02-01-01.wav
Actor_01,3,1,3,2,2,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-03-02-02-02-01.wav
Actor_01,3,1,4,1,1,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-04-01-01-01-01.wav
Actor_01,3,1,4,1,1,2,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-04-01-01-02-01.wav
Actor_01,3,1,4,1,2,1,0,/Users/iyeng/Desktop/NTU/NTU Sem 5/CZ4042/GroupProject/audio-files\Actor_01\03-01-04-01-02-01-01.wav
